,Nom et prénom,Numéro de téléphone,Service proposé,lowerplot
0,Capucine Remy,0643621859,Gestion de projet de construction,gestion projet construction
1,Théophile Dias-Coste,0610883745,Développement d'applications mobiles,développement dapplications_mobile
2,Valentine Denis-Briand,0643864969,Rédaction de contenu marketing,rédaction contenu marketing
3,Marc de Charrier,0682454911,Traduction de documents juridiques,traduction_document juridiques
4,Daniel Maillard-Ramos,0636373700,Analyse de données pour les entreprises,analyse données entreprises
5,Manon Gomes,0654898400,Création de sites web sur mesure,création site web mesure
6,Élisabeth-Corinne Guyot,0638303050,Planification financière personnelle,planification financière personnelle
7,Thibault-Édouard Muller,0668634885,Formation en ressources humaines,formation ressources_humaines
8,Léon Briand,0635870513,coach professionnel pour les cadres supérieurs,coach professionnel cadre supérieurs
9,Louis de Ferrand,0636346897, nettoyage commercial,nettoyage commercial
10,Timothée Fontaine,0697673624,Organisation d'événements spéciaux,organisation dévénements spéciaux
11,Franck Le Grondin,0683980362,Conseils en image et relooking,conseils image_relooking
12,Édith Legrand,0662955345,Maintenance informatique pour les entreprises,maintenance informatique entreprises
13,Madeleine de la Richard,0676227177,Gestion de la chaîne d'approvisionnement pour les petites entreprises,gestion chaîne_dapprovisionnement petite entreprises
14,Simone Antoine,0657861851, comptabilité et de tenue de livres pour les entreprises,comptabilité tenue livres entreprises
15,Adrien Fleury,0666772073,Planification de voyages personnalisés,planification voyage personnalisés
16,Alexandre Boulay,0678322983,Design d'intérieur pour les maisons et les entreprises,design dintérieur maisons entreprises
17,Maurice-Matthieu Joubert,0610645641, coach de vie pour les particuliers,coach vie particuliers
18,Alex Lemonnier du Parent,0680442574,Soutien aux personnes âgées et aux personnes handicapées,soutien personnes âgées personnes handicapées
19,Léon Thierry,0636077647,Cours de cuisine et de pâtisserie pour les particuliers.,cours cuisine pâtisserie particuliers
20,Claire Le Vincent,0643114105,Création de contenu de médias sociaux,création contenu médias sociaux
21,Olivier du Guyot,0611869934,Réparation de téléphones portables,réparation téléphones portable
22,Raymond Bouvier,0636737261,Conception de jardins et d'espaces extérieurs,conception jardins despaces extérieurs
23,Julien Dias,0621347428, comptabilité pour les petites entreprises,comptabilité petite entreprises
24,Jérôme Schneider,0631012111,coach de remise en forme et de santé,coach remise_forme santé
25,Stéphanie Brun de Foucher,0638573054,Développement de jeux vidéo,développement jeux vidéo
26,Guy Goncalves,0676940972, nettoyage résidentiel,nettoyage résidentiel
27,Thomas Morin-De Sousa,0605116324,Planification de mariage et coordination d'événements,planification mariage coordination dévénements
28,Virginie Andre,0633980508, design et décoration,design décoration
29,Nicolas Langlois,0619984242,Gestion de la chaîne d'approvisionnement pour les grandes entreprises,gestion chaîne_dapprovisionnement grandes entreprises
30,Frédéric Coulon-Guillaume,0644119364,Création de sites web de commerce électronique,création site web commerce électronique
31,Victor Jacquet,0662441615, développement de logiciels personnalisés,développement logiciels personnalisés
32,Noël Collin,0600561275,Conseils en investissement financier,conseils investissement financier
33,Noël Brun,0684751287, rédaction et édition de contenu technique,rédaction édition contenu technique
34,Léon Le Colas,0614638807,Formation en leadership et développement de l'équipe,formation leadership développement léquipe
35,Henri Martins,0642794807, création de logos et d'identité de marque,création logo didentité marque
36,Jeanne Colas-Paris,0644573001,Conception de meubles sur mesure,conception meubles mesure
37,Audrey-Dominique Lamy,0608864864, traduction pour les entreprises multilingues,traduction entreprises multilingues
38,Gabrielle-Patricia Chartier,0660330114,Planification de voyages de luxe,planification voyage luxe
39,Isaac Petit,0615416717, photographie professionnelle pour les mariages et les événements,photographie professionnelle mariages événements
40,Louise Munoz de la Carlier,0667118343,Développement de sites Web personnalisés,développement site web personnalisés
41,Emmanuel Roger,0675749882, comptabilité pour les petites entreprises,comptabilité petite entreprises
42,Alfred Guillon de la Pelletier,0607155007,Organisation d'événements corporatifs,organisation dévénements corporatifs
43,Océane Humbert,0607484292,Conception de logo et de marque,conception logo marque
44,Henriette-Martine Begue,0674137305,Nettoyage professionnel de tapis et de moquettes,nettoyage professionnel tapis moquette
45,Victoire Merle,0666517682, transcription audio et vidéo,transcription audio vidéo
46,Amélie Roger-Boucher,0607553026,Marketing par e-mail pour les entreprises,marketing email entreprises
47,Arthur-Alphonse Picard,0648329813,Formation en leadership et en gestion d'équipe,formation leadership gestion déquipe
48,Robert De Sousa,0621725427,Soutien aux étudiants pour les devoirs et les travaux universitaires,soutien étudiants devoir travaux universitaires
49,Grégoire Bousquet,0682842539,Évaluation de la performance des employés,évaluation performance employés
50,Louis Fernandez,0627702323,Maintenance de piscines résidentielles et commerciales,maintenance piscines résidentielles commerciales
51,Océane Fischer,0695542937, coach pour les personnes en transition de carrière,coach personnes transition carrière
52,Matthieu Barre-Foucher,0632281780,Réparation et entretien de véhicules automobiles,réparation entretien véhicules automobile
53,Emmanuel Philippe,0614382140,Planification de voyage personnalisée,planification voyage personnalisée
54,Andrée Chretien,0667543145, référencement pour les sites Web,référencement site web
55,Maurice Barre Le Klein,0680035806,Préparation de déclarations fiscales pour les particuliers,préparation déclarations fiscales particuliers
56,Anaïs Boutin,0607558088,Traduction de documents pour les entreprises et les particuliers,traduction_document entreprises particuliers
57,Margaux Germain,0696720951, garde d'animaux à domicile,garde danimaux domicile
58,Juliette Salmon,0619074350,Réparation de systèmes de chauffage et de climatisation,réparation systèmes_chauffage climatisation
59,Étienne Brun,0682890915,Conseils en image et relooking pour les particuliers.,conseils image_relooking particuliers
60,daisy Evrard,0630180023,coach en créativité pour les professionnels,coach créativité professionnels
61,Aimé Meunier,0659662582,Conseils en nutrition et planification de repas personnalisés,conseils nutrition planification repas personnalisés
62,Laetitia-Alex De Oliveira,0616654381, curation de contenu pour les influenceurs et les marques,curation contenu influenceurs marque
63,Margaret Baudry,0633092047,Organisation de chasses au trésor pour les entreprises et les événements privés,organisation chasse_trésor entreprises événements privés
64,Philippe du Lucas,0643748419, location de vêtements haut de gamme pour des occasions spéciales,location vêtements haut gamme occasion spéciales
65,Zacharie-Alfred Colas,0659351495,Assistance pour la gestion des tâches ménagères,assistance gestion tâches ménagères
66,Émilie Diallo de la Boulay,0606752333, livraison de repas à domicile,livraison repas domicile
67,Claude Mercier,0653761106,Garde d'animaux de compagnie à domicile,garde danimaux compagnie domicile
68,Alfred Guibert de Fontaine,0605811344, organisation de déménagement,organisation déménagement
69,Emmanuel Didier de Tessier,0635069181,Accompagnement aux courses et aux rendez-vous médicaux,accompagnement course rendezvous_médicaux
70,Honoré Lemonnier,0627142531," réparation à domicile (plomberie, électricité, peinture )",réparation domicile plomberie électricité peinture
71,Claude Martin,0615113085, entretien du jardin et des espaces extérieurs,entretien jardin espaces extérieurs
72,Claude Courtois,0615591903,gestion de la paperasse administrative,gestion paperasse administrative
73,Lucas Ferrand Le Boyer,0624842167, blanchisserie et repassage à domicile,blanchisserie repassage domicile
74,Gérard Roger,0660040264, Préparation de repas sains et équilibrés,préparation repas sains_équilibrés
75,Yves Regnier,0608454093,"Assistance pour l'organisation d'événements spéciaux (mariages, anniversaires )",assistance lorganisation dévénements spéciaux mariages anniversaires
76,Isabelle du Gilbert,0685761295,"Accompagnement pour des activités de loisirs (cinéma, musée )",accompagnement activités loisirs cinéma musée
77,Alice Renaud,0697449818, soutien scolaire et devoirs,soutien scolaire devoir
78,Roland Riou,0688889971,  la gestion des finances personnelles,gestion finance personnelles
79,Théodore Bourdon,0652658505," conciergerie privée (réservation de billets, de tables )",conciergerie privée réservation billet table
80,Alfred Ledoux de la Blanc,0605353892, covoiturage pour les personnes à mobilité réduite,covoiturage personnes mobilité_réduite
81,Maurice Barbier,0680366394, coiffure à domicile,coiffure domicile
82,Xavier Gomes,0686155952,"Gestion de la santé (prise de médicaments, suivi de traitement )",gestion santé prise_médicaments suivi traitement
83,Honoré-Joseph Allain,0665533577,planification de voyages,planification voyage
84,Maurice Pierre,0604755594, nettoyage écologique des extérieurs,nettoyage écologique extérieurs
85,Madeleine Guillot,0681024472, transport en ambulance non-urgent,transport ambulance nonurgent
86,Jeannine Lefebvre-Hardy,0611494216,soutien pour organisation de funérailles,soutien organisation funérailles
87,Louis Antoine,0611286942, garde de nuit pour les enfants ou les personnes âgées,garde nuit enfants personnes âgées
88,Adélaïde Fouquet-Baudry,0643016308, accompagnement : gestion du stress et de l'anxiété ,accompagnement gestion stress lanxiété
89,Timothée Le Goff,0680620578,Assistance à la parentalité pour les nouveaux parents,assistance parentalité nouveaux_parent
90,Josette Diaz,0638182623,Accompagnement à l'installation dans une nouvelle ville ou un nouveau pays,accompagnement linstallation nouvelle ville nouveau pay
